Name,Title,gender,race,School,department
"Agbiboa, Daniel",Assistant Professor of African and African American Studies,M,African American,FAS,AAAS
"Akutey-Baffoe, Francis",African Language Program Preceptor,M,African American,FAS,AAAS
"Akyeampong, Emmanuel",Ellen Gurney Professor of History and Professor of African and African American Studies,M,African American,FAS,AAAS
"Asani, Ali",Professor of Indo-Muslim and Islamic Religion and Cultures,M,Asian,FAS,AAAS
"Bates, Robert",Eaton Professor of the Science of Government and Professor of African and African American Studies,M,White,FAS,AAAS
"Bernstein, Robin","Dillon Professor of American History and Professor of African and African American Studies and of Studies of Women, Gender, and Sexuality",F,White,FAS,AAAS
"Blier, Suzanne",Allen Whitehill Clowes Professor of Fine Arts and Professor of African and African American Studies;Director of Undergraduate Studies,F,White,FAS,AAAS
"Bobo, Lawrence",W.E.B. Du Bois Professor of the Social Sciences,M,African American,FAS,AAAS
"Brown, Vincent",Charles Warren Professor of History and Professor of African and African American Studies,M,African American,FAS,AAAS
"Carpio, Glenda",Professor of English and of African and African American Studies,F,African American,FAS,AAAS
"Chalhoub, Sidney",Professor of History and of African and African American Studies,M,White,FAS,AAAS
"Comaroff, Jean","Alfred North Whitehead Professor of African and African American Studies and of Anthropology, Oppenheimer Fellow in African Studies",F,White,FAS,AAAS
"Comaroff, John","Hugh K. Foster Professor of African and African American Studies and of Anthropology, Oppenheimer Fellow in African Studies",M,White,FAS,AAAS
"Cooke-Rivers, Jacqueline",Director of the Seymour Institute for Black Church and Policy Studies,F,African American,FAS,AAAS
"de la Fuente, Alejandro",Robert Woods Bliss Professor of Latin-American History and Economics and Professor of African and African American Studies and of History,M,White,FAS,AAAS
"Ehineni, Taiwo",African Language Program Preceptor,M,African American,FAS,AAAS
"Elkins, Caroline",Professor of African and African American Studies,F,White,FAS,AAAS
"Gates, Henry","Alphonse Fletcher, Jr. University Professor, Director, Hutchins Center for African & African American Research",M,African American,FAS,AAAS
"Gay, Claudine",Wilbur A. Cowett Professor of Government and of African and African-American Studies,F,African American,FAS,AAAS
"Givens, Jarvis","Assistant Professor of Education, Faculty Affiliate, African and African-American Studies",M,African American,FAS,AAAS
"Hammonds, Evelynn",Barbara Gutmann Rosenkrantz Professor of the History of Science and Professor of African and African American Studies,F,African American,FAS,AAAS
"Higginbotham, Evelyn",Victor S. Thomas Professor of History and of African and African American Studies,F,White,FAS,AAAS
"Hinton, Elizabeth",John L. Loeb Associate Professor of the Social Sciences,F,African American,FAS,AAAS
"Hochschild, Jennifer",Henry LaBarre Jayne Professor of Government and Professor of African and African American Studies,F,White,FAS,AAAS
"Iyer, Vijay",Franklin D. and Florence Rosenblatt Professor of the Arts,M,Asian,FAS,AAAS
"Jeyifo, Biodun",Professor of African and African American Studies and of Comparative Literature,M,African American,FAS,AAAS
"Johnson, Walter",Winthrop Professor of History and Professor of African and African American Studies,M,White,FAS,AAAS
"Kane, Ousmane Oumar",Prince Alwaleed Bin Talal Professor of Contemporary Islamic Religion and Society,M,African American,FAS,AAAS
"Kincaid, Jamaica",Professor of African and African American Studies,F,African American,FAS,AAAS
"Kremer, Michael",Gates Professor of Developing Societies,M,White,FAS,AAAS
"Lamont, Michele","Robert I. Goldman Professor of European Studies, Professor of Sociology, and Professor of African and African American Studies",F,White,FAS,AAAS
"Lewis, Sarah",Associate Professor of History of Art and Architecture and African and African American Studies,F,African American,FAS,AAAS
"Lionnet, Francoise","Professor of Romance Languages and Literatures (French), Professor of African and African American Studies in Residence",F,White,FAS,AAAS
"Martin, Carla",Lecturer on African and African American Studies,F,White,FAS,AAAS
"McCarthy, Jesse",Assistant Professor of English and of African and African American Studies,M,African American,FAS,AAAS
"Meiu, George",John and Ruth Hazel Associate Professor of the Social Sciences,M,White,FAS,AAAS
"Monk, Ellis",Assistant Professor of Sociology,M,African American,FAS,AAAS
"Monson, Ingrid",Quincy Jones Professor of African-American Music,F,White,FAS,AAAS
"Morgan, Marcyliena",Ernest E. Monrad Professor of the Social Sciences,F,African American,FAS,AAAS
"Mugane, John",Professor of the Practice of African Languages and Cultures and Director of the African Language Program,M,African American,FAS,AAAS
"Olupona, Jacob",Professor of African and African American Studies and Professor of African Religious Traditions,M,African American,FAS,AAAS
"Reid-Pharr, Robert","Professor of Studies of Women, Gender, and Sexuality, Professor of African and African American Studies",M,African American,FAS,AAAS
"Shelby, Tommie",Caldwell Titcomb Professor of African and African American Studies and of Philosophy,M,African American,FAS,AAAS
"Shelemay, Kay",G. Gordon Watts Professor of Music and Professor of African and African American Studies,F,White,FAS,AAAS
